entry,max_r2,tem_des_sel_max
1,0.48569833870621504,[286]
2,0.7137776195868496,"[286, 1327]"
3,0.8954155859473427,"[286, 1327, 1330]"
4,0.8974627373515822,"[286, 1327, 1330, 1326]"
5,0.9004805563779693,"[286, 1327, 1330, 1326, 1322]"
6,0.9057083592900557,"[286, 1327, 1330, 1326, 1322, 302]"
7,0.9063982824811744,"[286, 1327, 1330, 1326, 1322, 302, 305]"
8,0.9066918744783519,"[286, 1327, 1330, 1326, 1322, 302, 305, 304]"
9,0.9068621022277036,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260]"
10,0.9070155693746128,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291]"
11,0.9070789682756173,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208]"
12,0.9071733549055648,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303]"
13,0.907229339970414,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074]"
14,0.9072296462905528,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034]"
15,0.907264471003916,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114]"
16,0.9072263795777299,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954]"
17,0.9072238390565869,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017]"
18,0.9071978257223181,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955]"
19,0.9072634216265439,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920]"
20,0.9072448623686007,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611]"
21,0.9072315106863529,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134]"
22,0.9071981292310372,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018]"
23,0.9072450273499615,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366]"
24,0.9072794963907053,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268]"
25,0.9072580447719385,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921]"
26,0.9072630928567917,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296]"
27,0.9072855910875495,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364]"
28,0.9072739926480436,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348]"
29,0.9072938217356256,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712]"
30,0.9073104199300339,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054]"
31,0.9073114569974472,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188]"
32,0.9073486189548838,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094]"
